estacionID,fecha,tempaire
CRTGJ,2020/06/18 00:00:00,26.000,33.000,19.000
CSRGJ,2020/06/18 00:00:00,21.750,30.000,13.500
CSTGJ,2020/06/18 00:00:00,24.500,32.500,16.500
DHGGJ,2020/06/18 00:00:00,20.500,30.500,10.500
ECBGJ,2020/06/18 00:00:00,22.500,30.000,15.000
ECHGJ,2020/06/18 00:00:00,24.000,32.000,16.000
ECNGJ,2020/06/18 00:00:00,24.750,33.000,16.500
EPLGJ,2020/06/18 00:00:00,26.000,34.000,18.000
GLNGJ,2020/06/18 00:00:00,22.500,30.000,15.000
GTOGJ,2020/06/18 00:00:00,23.450,29.900,17.000
IALGJ,2020/06/18 00:00:00,23.750,32.500,15.000
IRPGJ,2020/06/18 00:00:00,27.000,33.000,21.000
JCRGJ,2020/06/18 00:00:00,21.500,31.000,12.000
LADGJ,2020/06/18 00:00:00,22.000,30.000,14.000
LDYGJ,2020/06/18 00:00:00,23.000,32.000,14.000
LENGJ,2020/06/18 00:00:00,24.500,31.000,18.000
LGVGJ,2020/06/18 00:00:00,21.000,34.000,8.000
LJIGJ,2020/06/18 00:00:00,25.000,32.000,18.000
LQMGJ,2020/06/18 00:00:00,20.000,29.000,11.000
OCMGJ,2020/06/18 00:00:00,21.000,28.000,14.000
PERGJ,2020/06/18 00:00:00,23.250,31.000,15.500
POZGJ,2020/06/18 00:00:00,19.500,28.000,11.000
PRSGJ,2020/06/18 00:00:00,25.250,33.000,17.500
SFEGJ,2020/06/18 00:00:00,19.000,27.000,11.000
SJLGJ,2020/06/18 00:00:00,23.525,31.550,15.500
SLMGJ,2020/06/18 00:00:00,23.500,31.000,16.000
SLPGJ,2020/06/18 00:00:00,19.500,30.000,9.000
SLSGJ,2020/06/18 00:00:00,22.000,30.000,14.000
SLVGJ,2020/06/18 00:00:00,20.250,29.500,11.000
SMAGJ,2020/06/18 00:00:00,21.500,30.000,13.000
SMOGJ,2020/06/18 00:00:00,24.500,32.000,17.000
SRTGJ,2020/06/18 00:00:00,22.750,31.500,14.000
TARGJ,2020/06/18 00:00:00,23.500,31.000,16.000
TEMGJ,2020/06/18 00:00:00,24.750,32.000,17.500
VDSGJ,2020/06/18 00:00:00,23.500,33.000,14.000
XICGJ,2020/06/18 00:00:00,24.750,33.000,16.500
ACAGR,2020/06/18 00:00:00,28.000,32.000,24.000
AERGR,2020/06/18 00:00:00,27.150,34.800,19.500
AHUGR,2020/06/18 00:00:00,17.500,21.000,14.000
AYUGR,2020/06/18 00:00:00,29.500,37.000,22.000
BVSGR,2020/06/18 00:00:00,25.000,35.000,15.000
CALGR,2020/06/18 00:00:00,33.750,41.000,26.500
CCHGR,2020/06/18 00:00:00,26.000,35.000,17.000
CHIGR,2020/06/18 00:00:00,26.500,34.000,19.000
CHLGR,2020/06/18 00:00:00,25.000,32.000,18.000
CNLGR,2020/06/18 00:00:00,30.750,36.000,25.500
IGLGR,2020/06/18 00:00:00,29.200,37.700,20.700
IXTGR,2020/06/18 00:00:00,29.500,39.000,20.000
LDCGR,2020/06/18 00:00:00,27.500,31.000,24.000
LDGGR,2020/06/18 00:00:00,27.500,35.000,20.000
MCHGR,2020/06/18 00:00:00,24.000,32.000,16.000
ODAGR,2020/06/18 00:00:00,30.600,36.000,25.200
ODZGR,2020/06/18 00:00:00,24.500,32.000,17.000
OLNGR,2020/06/18 00:00:00,31.000,41.000,21.000
OMEGR,2020/06/18 00:00:00,22.000,29.000,15.000
PETGR,2020/06/18 00:00:00,26.500,35.000,18.000
QTZGR,2020/06/18 00:00:00,29.750,36.000,23.500
SJEGR,2020/06/18 00:00:00,30.500,35.000,26.000
TAXGR,2020/06/18 00:00:00,23.500,30.000,17.000
TCOGR,2020/06/18 00:00:00,26.250,33.500,19.000
TLAGR,2020/06/18 00:00:00,19.000,24.000,14.000
TLPGR,2020/06/18 00:00:00,29.000,35.000,23.000
TXTGR,2020/06/18 00:00:00,28.500,38.000,19.000
