estacionID,nombre,latitud,longitud
REVCP,"Revolución Mexicana, Chis.",16.158333,-93.747222
SLMTP,"Soto la Marina, Tamps.",23.7675,-98.210833
RUINR,"Ruiz, Nay.",21.958333,-105.1425
RSRNR,"Reg. San Rafael, Nay.",21.8,-104.8
CDLCH,"Cd. Delicias, Chih.",28.210833,-105.446944
ARCSI,"Adolfo Ruíz Cortines, Sin.",25.7,-108.7
TRJMC,"Terejero, Mich.",19.48,-101.433333
RNCVC,"Rinconada, Ver.",19.35,-96.55
PARCL,"Parras, Coah.",25.440833,-102.181667
CNTCL,"El Centenario, Coah.",29.213611,-100.95
LBCNL,"La Boca, N.L.",25.428056,-100.128056
CESDR,"C. Escobar, Dgo.",25.605556,-105.748611
TCOGR,"Tierra Colorada, Gro.",17.1675,-99.526389
TMUMC,"Tercer Mundo, Mich.",19.766389,-100.299167
SBRDR,"San Bartolo, Dgo.",24.5,-104.8
ECBSO,"El Cubil, Son.",29.2,-109.233333
TAPCP,"Tapachula, Chis.",14.9,-92.183333
JLPQT,"Jalpan, Qro.",21.230278,-99.479722
CGZJL,"Cd. Guzmán, Jal.",19.697778,-103.465278
PSANL,"Salinillas, N.L.",27.429167,-100.372222
MECYC,"Merida Centro, Yuc.",20.966944,-89.618333
SNVAG,"Sandovales, Ags.",21.885,-102.108889
OXKYC,"Oxkutzcab, Yuc.",20.291111,-89.394722
CHIMX,"Chilesdo, Méx.",19.2,-100.116667
PAYCP,"Plan de Ayala, Chis.",16.833333,-92.945833
ANSGJ,"Arandas, Gto.",20.712778,-101.370833
JONTB,"Jonuta, Tab.",18.085556,-92.136944
SLAGR,"San Luis Acatlán, Gro.",16.816667,-98.75
PADTP,"Padilla II, Tamps.",24.05,-98.9
ROSCP,"Rosario, Chis.",16.9,-91.8
AJJJL,"Ajojucar, Jal.",21.599444,-102.436944
LNRDR,"Los Naranjos, Dgo.",24.613056,-103.306944
MCHSI,"Los Mochis, Sin.",25.8,-109
PSDMX,"El Pescado II, Méx.",19.783333,-99.8
NANVC,"Nanchital, Ver.",18.066667,-94.383333
XCTTL,XICOTZINGO,19.166667,-98.25
IXPSI,"Ixpalino, Sin.",23.955556,-106.595833
SRANL,"San Rafael, N.L.",25.028333,-100.551111
CUATL,"Cuapiaxtla, Tlax.",19.298889,-97.769722
CBRDR,"Caboraca, Dgo.",24.538333,-104.810278
CAGCH,"Casas Grandes, Chih.",30.376667,-107.930833
SAYCP,"Sayula, Chis.",17.425,-93.383333
JNASI,"Jaina, Sin.",25.9,-108.013889
TESMX,"Texcaltitlán, Méx.",18.931389,-99.935833
REFCP,"Reforma, Chis.",15.916667,-92.666667
CEDSL,"Cedral, S.L.P.",23.816667,-100.725
TMSTP,"Tamesí, Tamps.",22.423889,-98.422778
PTTGR,"Petatlán, Gro.",17.533333,-101.266667
SDICP,"San Diego, Chis.",15.7425,-93.3
NVLAG,"El Novillo, Ags.",22.020556,-102.001944
CCHGR,"Chichihualco, Gro.",17.672222,-99.701111
TZICP,"Tzimbac, Chis.",17.283333,-93.5375
LFLZC,"La Florida, Zac.",22.686944,-103.603056
CHOYC,"Chocholá, Yuc.",20.649722,-89.68
FDOTP,"San Fernando, Tamps.",24.843889,-98.158333
MGZTP,"Magiscatzin, Tamps.",22.794167,-98.716111
HTBSO,"Huatabampo, Son.",26.822778,-109.630556
CTNDF,"Cuautenco, D.F.",19.190278,-99.09
ODZGR,"Observatorio de Zumpango, Gro.",17.6,-99.5
CHOAG,"Cañada Honda, Ags.",22.007222,-102.197222
IGLGR,"Iguala, Gro.",18.349722,-99.55
GDLMX,"Guadalupe, Méx.",19.635556,-99.252222
SANMC,"San Marcos, Mich.",19.854444,-102.54
ACAPULCO,"Acapulco, Gro. SMN*",16.762778,-99.749167
SBYDR,"Santiago Bayacora, Dgo.",23.874444,-104.675833
FMUZC,"Francisco R. Murguía, Zac.",0,0
CVCTP,"Cd. Victoria Observatorio, Tamps.",23.716667,-99.166667
PVRJL,"Palo Verde, Jal.",20.777222,-104.102222
CDRNL,"Cadereyta, N.L.",25.590278,-99.975
K40DR,"Km. 40+000 Sacramento, Dgo.",0,0
BTVCH,"Batovira, Chih.",27.9,-107.9
CHLJL,"Chila, Jal.",20.489722,-102.944167
TMTSL,"Temamatla, S.L.P.",21.241111,-98.758889
OCMCL,"Ocampo, Coah.",27.316667,-102.4
YURMC,"Yurécuraro, Mich.",20.339444,-102.242222
LCRSL,"La Calera, S.L.P.",21.7,-99.1
GTAGR,"La Garita (Túnel Alto), Gro.",16.874444,-99.878889
BNMSO,"Banamichi, Son.",30.003611,-110.215
VAGSL,"Villa de Arriaga, S.L.P.",21.9,-101.383333
HRTJL,"Hurtado, Jal.",20.466944,-103.651111
PVCVC,"Playa Vicente, Ver.",17.833333,-95.816667
LESCP,"La Escalera, Chis.",16.490278,-93.025
QRBSO,"Querobabi, Son.",30.050556,-111.021389
PBTMX,"Planta Barrientos, Méx.",19.575,-99.175
YAMCP,"Yamonho, Chis.",17.116667,-93.330556
SHDNL,"Sabinas Hidalgo, N.L.",26.500556,-100.153889
BLMSL,"Ballesmi, S.L.P.",21.748889,-98.955833
SATVC,"San Andres Tuxtla, Ver.",18.45,-95.216667
NYNSO,"Sonoyta, Son.",31.866667,-112.85
SBNSO,"San Bernardo, Son.",27.411944,-108.876667
INFMC,"Infiernillo, Mich.",18.266667,-101.883333
SLDMR,"Solidaridad, Mor.",18.918333,-99.190556
PALZC,"Palomas, Zac.",22.347778,-102.798056
ALAVC,"Álamo Temapache, Ver.",20.93,-97.68
SVTSL,"San Vicente, S.L.P.",21.692778,-98.617222
SIQCH,"Siquirichi, Chih.",27.283333,-107.220833
URECH,"Urique estación, Chih.",27.216667,-107.9125
FVLDR,"Francisco Villa, Dgo.",24.001667,-103.960833
JCRGJ,"Jerecuaro, Gto.",20.133333,-100.516667
LCACP,"La Cabaña, Chis.",16.75,-92.633333
CDBGR,"Coyuca de Benítez, Gro.",18.333333,-100.633333
BCRJL,"Becerrera, Jal.",20.3,-102.7
MATSL,"Matehuala, S.L.P.",23.656944,-100.642778
VGRGR,"Vicente Guerrero, Gro.",18.382778,-100.265833
TPCGJ,"Tepalcates, Gto.",20.740278,-101.370833
K91SO,"Km. 91 de Canal Alto, Son.",27.483333,-109.933333
AERGR,"Aeropuerto de Acapulco, Gro.",16.751111,-99.5
OJNCH,"Ojinaga, Chih.",29.565,-104.410833
ATQJL,"Atequiza, Jal.",20.397222,-103.091944
CHRSL,"Charcas, S.L.P.",23.131944,-101.107222
FZRDR,"Francisco Zarco, Dgo.",25.270833,-103.773611
PSCGR,"Palma Sola-Camarón, Gro.",16.885,-99.915556
BOQJL,"La Boquilla, Jal.",21.058333,-103.397222
SBNCL,"Sabinas, Coah.",27.846667,-101.122778
NRGCH,"Norogachic, Chih.",27.25,-107.133333
DESCP,"Despoblado, Chis.",15.204167,-92.575
FLCTP,"Falcón, Tamps.",26.560278,-99.170556
LDYGJ,"Laguna de Yuriria, Gto.",20.286944,-101.073056
LLJGR,"La Laja, Gro.",16.9,-99.9
FDOCP,"San Fernando, Chis.",16.866667,-93.2
ZICMC,"Zicuirán, Mich.",18.921111,-101.931944
CNSQT,"Constitución de 1917, Qro.",20.418611,-100.080278
PRRCH,"Parral, Chih.",26.917778,-105.675556
CLGGR,"Cumbres del Llano Grande, Gro.",17.15,-98.931111
VJIMC,"Villa Jiménez, Mich.",19.55,-101.45
SJLGJ,"Santa Julia, Gto.",20.4,-101.016667
CAJJL,"Cajititlán, Jal.",0,0
BBAJL,"Basilio Vadillo, Jal.",19.913611,-104.061111
PSOGR,"Palma Sola II, Gro.",16.9,-99.9
SMACP,"Santa María, Chis.",16.938889,-92.820833
BVSGR,"Buena Vista, Gro.",18.2,-99.2
TORCP,"Tortuguero, Chis.",17.216667,-93.581111
LGVGJ,"P. la Gavia, Gto.",20.383333,-100.866667
SLOGJ,"Silao, Gto.",20.95,-101.433333
ACAGR,"Acapulco, Gro.",16.849722,-99.906667
TICYC,"Ticul, Yuc.",20.396944,-89.541111
CDLCL,"Candela, Coah.",26.844444,-100.661111
SJATL,"San José Atlanga, Tlax.",19.556111,-98.200556
PDSJL,"Paso del Sabino, Jal.",21.337222,-102.532778
ESIGR,"E. S. A. Iguala, Gro.",18.3,-99.5
AOMGR,"Aeropuerto (Observ. Meteorológico), Gro.",16.751111,-99.878611
LPAMC,"La Palma, Mich.",20.146667,-102.751389
LNDSO,"Lindero, Son.",26.878611,-109.710833
AFTCL,"Ateneo Fuentes, Coah.",25.3,-101.2
ABSTP,"Abasolo, Tamps.",24.065556,-98.39
FMUDR,"Francisco Murguía, Dgo.",23.8,-104.1
EPUQT,"El Pueblito, Qro.",20.535,-100.453333
TMRSI,"Tamarindo, Sin.",24.9,-107.5
LFLDR,"La Flor, Dgo.",25.068056,-103.283889
CORTP,"Corona, Tamps.",23.939167,-98.935833
LJNCH,"La Junta, Chih.",28.754167,-107.980556
LESNR,"La Estancia, Nay.",22.558333,-105.341667
TMISL,"Tamuín, S.L.P.",22.003611,-98.773333
TRGDF,"Tarango, D.F.",19.361944,-99.2125
ORZDR,"Orizonte, Dgo.",0,0
ZTCHD,"Zontecomatlán, Hgo.",20.766667,-98.25
TLYSI,"Tlayote, Sin.",26.205278,-108.27
TBRSI,"San Francisco, Sin.",26.9,-108.129167
GTNSI,"Guatenipa, Sin.",25.344444,-107.225
VLPCH,"Villa López, Chih.",27.003056,-105.036111
CGRMC,"Cuitzillo Grande, Mich.",19.766667,-101.116667
